"shop_name","shop_address","shop_type","shop_phone","shop_openHours","shop_details","shop_link"
"Charloo's West Indian Foods Inc","1646 Victoria Park Ave, North York, ON M1R 1P7","Grocery Stores, Fish & Seafood Stores","416-759-7680","Opening soon 10:00 am","Charloo's West Indian Foods Inc: All of your West Indian Groceries, Spices, Fresh Fruits & Vegetables, Halal Meat, Fish & Seafood, Fresh Roti, Cosmetics, Music & more...
more...
See more text","https://www.yellowpages.ca/bus/Ontario/North-York/Charloo-s-West-Indian-Foods-Inc/8165198.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Caribbean Corner","171 Baldwin St, Toronto, ON M5T 1L9","Grocery Stores","416-593-0008","Open until  7:00 pm","","https://www.yellowpages.ca/bus/Ontario/Toronto/Caribbean-Corner/308901.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Checkinandchillhouse","2030 Weston Rd, Main, York, ON M9N 1X4","Grocery Stores","647-562-7379","Opening soon 10:00 am","","https://www.yellowpages.ca/bus/Ontario/York/Checkinandchillhouse/102379540.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Whole Foods Market","87 Avenue Rd, Toronto, ON M5R 3R9","Grocery Stores, Health Food Stores
More…","647-699-0557","Open until  10:00 pm","Order online now! We know we've always been a little out of the ordinary. Those 19 people who started our first store were quite an idealistic bunch! We now have over 50,000 team m...
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Toronto/Whole-Foods-Market/7738935.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Butchers Of Distinction","738 Queen St E, Toronto, ON M4M 1H2","Grocery Stores, Restaurants
More…","416-466-9191","Opening soon 10:00 am","","https://www.yellowpages.ca/bus/Ontario/Toronto/Butchers-Of-Distinction/8209983.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Loblaws","17 Leslie St, Toronto, ON M4M 3H9","Grocery Stores, Vision & Eye Care","416-469-2897","Open until  10:00 pm","While food is at the heart of our offerings, our stores provide a wide, growing and successful range of products and services to meet your everyday household needs.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Toronto/Loblaws/7983773.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Loblaws","3671 Dundas St W, Etobicoke, ON M6S 2T3","Grocery Stores","416-769-7171","Open until  10:00 pm","While food is at the heart of our offerings, our stores provide a wide, growing and successful range of products and services to meet your everyday household needs.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Loblaws/100418317.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Loblaws","10 Lower Jarvis St, Toronto, ON M5E 1Z2","Grocery Stores, Opticians","416-304-0611","Open until  9:00 pm","While food is at the heart of our offerings, our stores provide a wide, growing and successful range of products and services to meet your everyday household needs.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Toronto/Loblaws/7779024.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Loblaws","396 St Clair Ave W, Toronto, ON M5P 3N3","Grocery Stores","416-651-5166","Open until  10:00 pm","While food is at the heart of our offerings, our stores provide a wide, growing and successful range of products and services to meet your everyday household needs.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Toronto/Loblaws/8211199.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Loblaws","3501 Yonge St, North York, ON M4N 2N5","Grocery Stores","416-481-7753","Open until  10:00 pm","While food is at the heart of our offerings, our stores provide a wide, growing and successful range of products and services to meet your everyday household needs.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/North-York/Loblaws/2379659.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Loblaws","60 Carlton St, Toronto, ON M5B 1J2","Grocery Stores","416-593-6154","Open until  10:00 pm","While food is at the heart of our offerings, our stores provide a wide, growing and successful range of products and services to meet your everyday household needs.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Toronto/Loblaws/7798843.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Loblaws","50 Musgrave St, Toronto, ON M4E 3W2","Grocery Stores, Opticians
More…","416-694-3838","Open until  10:00 pm","While food is at the heart of our offerings, our stores provide a wide, growing and successful range of products and services to meet your everyday household needs.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Toronto/Loblaws/6539893.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Loblaws","585 Queen St W, Toronto, ON M5V 2B7","Grocery Stores","416-703-3419","Open until  10:00 pm","While food is at the heart of our offerings, our stores provide a wide, growing and successful range of products and services to meet your everyday household needs.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Toronto/Loblaws/100418706.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Loblaws","720 Broadview Ave, Toronto, ON M4K 2P1","Grocery Stores","416-778-8762","Open until  9:00 pm","While food is at the heart of our offerings, our stores provide a wide, growing and successful range of products and services to meet your everyday household needs.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Toronto/Loblaws/7984319.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Loblaws","650 Dupont St, Toronto, ON M6G 4B1","Grocery Stores","416-588-3756","Open until  10:00 pm","While food is at the heart of our offerings, our stores provide a wide, growing and successful range of products and services to meet your everyday household needs.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Toronto/Loblaws/7983769.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Carribean Island Food","3432 Weston Rd, North York, ON M9M 2W1","Grocery Stores","416-746-1592","Open until  9:00 pm","Located just south of Finch on Weston Road, Carribean Island Food Market is one of Toronto's favourite destinations for quality goat meat, fresh Caribbean food, smoked fish and oth...
more...
See more text","https://www.yellowpages.ca/bus/Ontario/North-York/Carribean-Island-Food/4370523.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"IGA","","Grocery Stores","416-694-3011","","","https://www.yellowpages.ca/bus/Ontario/IGA/5846794.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Rabba Fine Foods","2125 Lake Shore Blvd W, Etobicoke, ON M8V 0B3","Grocery Stores, Food Products
More…","416-251-0181","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Rabba-Fine-Foods/100728713.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"L Kraft General Food Ltd","2150 Lake Shore Blvd W, Etobicoke, ON M8V 1A3","Grocery Stores","416-503-0016","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/L-Kraft-General-Food-Ltd/7146309.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Sobeys Sobeys Supermarkets","125 The Queensway, Etobicoke, ON M8Y 1H6","Grocery Stores","416-259-1758","Open until  12:00 pm","Sobeys: modern food stores offering full-service meat and seafood departments,farm-fresh produce,in-store bakeries,prepared foods and florists
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Sobeys-Sobeys-Supermarkets/8062544.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Chowk Bazaar","3100 Danforth Ave, Scarborough, ON M1L 1B1","Grocery Stores","647-352-5009","","","https://www.yellowpages.ca/bus/Ontario/Scarborough/Chowk-Bazaar/101230409.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"FreshCo","2490 Gerrard St E, Scarborough, ON M1N 1W7","Grocery Stores","416-698-3353","Open until  10:00 pm","Launched in 2010, FreshCo.’s commitment is to provide the best discount grocery shopping experience by offering quality fresh food at low prices and with less compromise.
more...
See more text","https://www.yellowpages.ca/bus/Ontario/Scarborough/FreshCo/100406465.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Metro Ontario Inc","2208 Lake Shore Blvd W, Toronto, ON M8V 1A4","Grocery Stores","416-259-9277","","","https://www.yellowpages.ca/bus/Ontario/Toronto/Metro-Ontario-Inc/100927266.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Metro Humber Bay Park","2208 Lake Shore Blvd W, Toronto, ON M8V 1A4","Grocery Stores, Caterers
More…","416-201-0441","Open until  11:00 pm","","https://www.yellowpages.ca/bus/Ontario/Toronto/Metro-Humber-Bay-Park/100866197.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Fallingbrook Market & Cafe","158 Fallingbrook Rd, Toronto, ON M1N 1N3","Grocery Stores","416-690-6655","Open until  7:00 pm","","https://www.yellowpages.ca/bus/Ontario/Toronto/Fallingbrook-Market-Cafe/6267293.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Berry Road Food Co-Op","150 Berry Rd, Etobicoke, ON M8Y 1W3","Grocery Stores","647-479-9584","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Berry-Road-Food-Co-Op/101867460.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Spice Urban Towns","3194 Danforth Ave, Scarborough, ON M1L 1B7","Grocery Stores","416-932-3443","","","https://www.yellowpages.ca/bus/Ontario/Scarborough/Spice-Urban-Towns/100557345.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Canada Herb","144 Park Lawn Rd, Etobicoke, ON M8Y 3H8","Grocery Stores","416-588-4549","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Canada-Herb/7118497.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Rabba Fine Foods","2275 Lake Shore Blvd W, Etobicoke, ON M8V 3Y3","Grocery Stores","416-201-0179","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Rabba-Fine-Foods/7123682.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Sunnyview Grocery & Variety","237 Park Lawn Rd, Etobicoke, ON M8Y 3J3","Grocery Stores, Florists & Flower Shops","416-255-0116","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Sunnyview-Grocery-Variety/100922136.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"7 Star Convenience & Grocery","3304 Danforth Ave, Scarborough, ON M1L 1C4","Grocery Stores","416-946-3430","","","https://www.yellowpages.ca/bus/Ontario/Scarborough/7-Star-Convenience-Grocery/102120746.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
"Lakeshore Mini Mart","2316 Lake Shore Blvd W, Etobicoke, ON M8V 1B5","Grocery Stores, Convenience Stores","416-251-5889","","","https://www.yellowpages.ca/bus/Ontario/Etobicoke/Lakeshore-Mini-Mart/7129695.html?what=Grocery+Stores&where=Toronto+ON&useContext=true"
